gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
ARID2	C4	0.823355225433363	1	up_in_rest	13	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5530	175	0.0316	16	159	583	4947	-0.138086544620066	c033
EPAS1	C4	0.832771209642974	1	up_in_rest	7	BLCA,BRCA,CESC,HNSC,LUAD,PCPG,UCEC	3173	45	0.0142	3	42	222	2951	-0.0439234307551982	c137
CHD3	C4	0.836154768856239	1	up_in_rest	9	BLCA,BRCA,CESC,ESCA,HNSC,LUAD,LUSC,STAD,UCEC	3954	96	0.0243	3	93	180	3774	-0.117084636067274	c096
GRIN2D	C4	0.847170538386089	1	up_in_rest	6	BLCA,HNSC,LUAD,LUSC,STAD,UCEC	2517	41	0.0163	1	40	86	2431	-0.24854990318166	c171
CHD8	C4	0.848503558430379	1	up_in_rest	13	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LUAD,LUSC,OV,STAD,UCEC	4952	130	0.0263	9	121	392	4560	-0.180887121295872	c052
PLCB4	C4	0.877864937609438	1	up_in_subtype	9	BLCA,BRCA,COADREAD,HNSC,LIHC,LUAD,LUSC,OV,PRAD	4111	95	0.0231	9	86	391	3720	0.157156581099966	c088
CARD11	C4	0.879337786699014	1	up_in_subtype	11	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4690	119	0.0254	9	110	437	4253	0.0725409603968906	c062
EZH2	C4	0.902236485893979	1	up_in_subtype	4	BLCA,LUAD,LUSC,UCEC	1686	22	0.013	1	21	75	1611	0.210456669945938	c204
NF1	C4	0.905204946705188	1	up_in_subtype	16	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PCPG,STAD,UCEC	6165	267	0.0433	34	233	766	5399	0.22992182632318	c013
MACF1	C4	1	1	up_in_rest	21	BLCA,BRCA,CESC,CHOL,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SARC,STAD,THCA,UCEC	7420	424	0.0571	35	389	834	6586	-0.0645713118985635	c001
TP53	C4	1	1	up_in_rest	23	ACC,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PRAD,SARC,STAD,UCEC,UCS	7153	2904	0.406	285	2619	878	6275	-0.0709896260347261	c003
KMT2D	C4	1	1	up_in_subtype	19	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,PRAD,SARC,STAD,UCEC,UCS	6786	524	0.0772	38	486	805	5981	0.0832430013079755	c005
ZFHX3	C4	1	1	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,LIHC,LUAD,LUSC,OV,PRAD,STAD,THCA,UCEC	6096	210	0.0344	14	196	561	5535	0.117413248692586	c015
EP300	C4	1	1	up_in_rest	15	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5948	248	0.0417	17	231	507	5441	-0.0911821984088962	c019
SMARCA4	C4	1	1	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,STAD,UCEC	5987	222	0.0371	19	203	669	5318	0.0195103130003459	c020
NIPBL	C4	1	1	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LGG,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5835	191	0.0327	14	177	570	5265	0.0840079512644089	c023
NOTCH1	C4	1	1	up_in_rest	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LGG,LIHC,LUAD,LUSC,SARC,STAD,UCEC	5730	253	0.0442	16	237	601	5129	-0.0333753146464583	c025
KMT2A	C4	1	1	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,THCA,UCEC	5674	224	0.0395	16	208	464	5210	0.224909757696894	c026
KIT	C4	1	1	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,LGG,LIHC,LUAD,LUSC,OV,STAD,TGCT,UCEC	5664	124	0.0219	13	111	627	5037	0.162187953491516	c027
MTOR	C4	1	1	up_in_subtype	14	BLCA,BRCA,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,UCEC	5622	180	0.032	13	167	640	4982	0.0797768641331529	c028
POLQ	C4	1	1	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5547	200	0.0361	20	180	463	5084	0.440690078561686	c031
ERBB4	C4	1	1	up_in_subtype	13	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRC,LIHC,LUAD,LUSC,PRAD,STAD,UCEC	5512	219	0.0397	11	208	406	5106	0.113542857829302	c035
PTPRD	C4	1	1	up_in_subtype	14	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRP,LUAD,LUSC,OV,PRAD,STAD,UCEC	5353	276	0.0516	14	262	436	4917	0.158270991392465	c038
MGA	C4	1	1	up_in_subtype	13	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5193	190	0.0366	15	175	443	4750	0.388437803092023	c046
NCOR1	C4	1	1	up_in_rest	13	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,KIRP,LUAD,LUSC,OV,STAD,UCEC	5136	185	0.036	14	171	407	4729	-0.0113452048627375	c047
SPTAN1	C4	1	1	up_in_rest	12	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4860	159	0.0327	9	150	476	4384	-0.22345959276889	c056
SETBP1	C4	1	1	up_in_subtype	12	BLCA,BRCA,COADREAD,ESCA,GBM,HNSC,KIRC,LUAD,LUSC,OV,STAD,UCEC	4771	130	0.0272	7	123	344	4427	0.570475216016956	c059
NOTCH2	C4	1	1	up_in_subtype	12	BLCA,BRCA,CESC,ESCA,GBM,HNSC,KIRC,LIHC,LUAD,LUSC,STAD,UCEC	4755	128	0.0269	10	118	451	4304	0.425378561092489	c061
KANSL1	C4	1	1	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,PRAD,STAD,UCEC	4644	92	0.0198	7	85	230	4414	0.353532293986246	c065
SF3B1	C4	1	1	up_in_subtype	10	BLCA,BRCA,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,STAD,UCEC	4584	112	0.0244	13	99	393	4191	0.0284063013380794	c069
AXIN1	C4	1	1	up_in_rest	11	BLCA,BRCA,COADREAD,GBM,HNSC,KIRP,LIHC,LUSC,OV,STAD,UCEC	4442	69	0.0155	11	58	513	3929	-0.35147844376724	c073
PDS5B	C4	1	1	up_in_rest	10	BLCA,BRCA,HNSC,KIRC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4383	75	0.0171	4	71	379	4004	-0.58801064979167	c074
TET2	C4	1	1	up_in_rest	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,SARC,STAD,UCEC	4443	67	0.0151	2	65	238	4205	-0.447114415362606	c078
ERBB2	C4	1	1	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,STAD,UCEC	4413	166	0.0376	10	156	191	4222	0.263574108406196	c081
RB1	C4	1	1	up_in_rest	11	BLCA,BRCA,CESC,GBM,HNSC,LIHC,LUAD,LUSC,OV,SARC,UCEC	4259	189	0.0444	18	171	508	3751	-0.0727168975111008	c082
TGFBR2	C4	1	1	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,PAAD,STAD	4123	83	0.0201	2	81	178	3945	0.024753900858368	c089
NF2	C4	1	1	up_in_subtype	10	BLCA,BRCA,CESC,HNSC,KIRC,KIRP,LIHC,LUSC,MESO,UCEC	4069	68	0.0167	7	61	391	3678	0.00978146905212018	c090
LZTR1	C4	1	1	up_in_subtype	9	BLCA,BRCA,COADREAD,GBM,HNSC,LUAD,LUSC,OV,UCEC	3905	54	0.0138	5	49	310	3595	0.355294719868143	c094
PGR	C4	1	1	up_in_subtype	9	BLCA,BRCA,COADREAD,GBM,LIHC,LUAD,LUSC,STAD,UCEC	3932	65	0.0165	6	59	429	3503	0.0162557095493958	c097
TLR4	C4	1	1	up_in_subtype	9	BLCA,BRCA,ESCA,HNSC,LUAD,LUSC,OV,STAD,UCEC	3855	147	0.0381	6	141	213	3642	0.284106305892219	c098
ARID5B	C4	1	1	up_in_subtype	8	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	3859	69	0.0179	4	65	320	3539	0.178173239006011	c101
CASP8	C4	1	1	up_in_rest	8	BLCA,BRCA,CESC,HNSC,LUAD,LUSC,STAD,UCEC	3784	124	0.0328	3	121	175	3609	-0.222492141005205	c102
THRAP3	C4	1	1	up_in_subtype	8	BLCA,BRCA,COADREAD,LUAD,LUSC,OV,STAD,UCEC	3655	54	0.0148	3	51	217	3438	0.135337042176193	c106
SOS1	C4	1	1	up_in_subtype	9	BLCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,UCEC	3601	87	0.0242	6	81	265	3336	0.130944245416279	c109
ACVR1B	C4	1	1	up_in_subtype	7	BRCA,COADREAD,HNSC,LUAD,LUSC,STAD,UCEC	3586	62	0.0173	3	59	145	3441	0.669014173669535	c111
GATA3	C4	1	1	up_in_rest	7	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD	3538	61	0.0172	2	59	166	3372	-0.437954347925062	c113
PIK3CB	C4	1	1	up_in_rest	8	BLCA,BRCA,GBM,HNSC,LUAD,LUSC,OV,UCEC	3446	59	0.0171	4	55	299	3147	-0.0312709258813028	c116
PIK3R1	C4	1	1	up_in_subtype	7	BRCA,COADREAD,GBM,HNSC,LGG,LUSC,UCEC	3439	88	0.0256	8	80	362	3077	0.213923628181253	c123
JAK3	C4	1	1	up_in_subtype	8	BLCA,BRCA,GBM,LIHC,LUAD,LUSC,OV,UCEC	3301	58	0.0176	7	51	448	2853	0.527306482301951	c129
IDH1	C4	1	1	up_in_subtype	8	BLCA,BRCA,CHOL,COADREAD,GBM,LGG,LIHC,LUAD	3249	434	0.1336	87	347	552	2697	0.105884013607647	c134
PMS2	C4	1	1	up_in_subtype	6	BLCA,BRCA,HNSC,LUAD,LUSC,UCEC	3173	41	0.0129	2	39	160	3013	0.437277525360284	c136
MSH6	C4	1	1	up_in_rest	7	BLCA,BRCA,GBM,LUAD,LUSC,STAD,UCEC	3129	41	0.0131	2	39	267	2862	-0.0710065608665348	c139
JAK2	C4	1	1	up_in_subtype	6	BLCA,BRCA,CESC,HNSC,LUAD,LUSC	3006	43	0.0143	1	42	152	2854	0.710257179714316	c144
SMC3	C4	1	1	up_in_rest	6	BLCA,BRCA,KIRC,LUAD,STAD,UCEC	2933	39	0.0133	2	37	180	2753	-0.0594650705388957	c147
NRAS	C4	1	1	up_in_rest	8	BLCA,COADREAD,LIHC,LUSC,OV,TGCT,THCA,UCEC	2852	103	0.0361	6	97	279	2573	-0.0826024165297593	c153
RNF43	C4	1	1	up_in_subtype	8	COADREAD,KIRC,LUAD,LUSC,OV,PAAD,STAD,UCEC	2769	49	0.0177	2	47	120	2649	0.204733772197199	c154
CTCF	C4	1	1	up_in_subtype	5	BLCA,BRCA,COADREAD,HNSC,UCEC	2770	101	0.0365	5	96	145	2625	0.240414481329948	c156
POLRMT	C4	1	1	up_in_rest	5	BRCA,CESC,COADREAD,LUAD,UCEC	2577	41	0.0159	1	40	133	2444	-0.377428684732813	c165
ABL1	C4	1	1	up_in_subtype	6	BLCA,COADREAD,LUAD,LUSC,OV,UCEC	2315	37	0.016	1	36	125	2190	0.243743859030174	c172
FLT3	C4	1	1	up_in_subtype	7	BLCA,ESCA,GBM,LUAD,LUSC,STAD,UCEC	2301	59	0.0256	3	56	189	2112	0.751515588534371	c174
SMAD2	C4	1	1	up_in_subtype	4	BRCA,COADREAD,LUAD,STAD	2214	36	0.0163	1	35	122	2092	0.583246082333416	c178
MAP2K1	C4	1	1	up_in_rest	5	COADREAD,LUAD,LUSC,STAD,UCEC	2099	24	0.0114	0	24	60	2039	-0.0185842495069708	c183
RAD21	C4	1	1	up_in_subtype	5	BLCA,CESC,COADREAD,LUAD,LUSC	1978	38	0.0192	2	36	78	1900	0.276280711911789	c187
ACVR1	C4	1	1	up_in_subtype	4	BLCA,HNSC,LUAD,UCEC	1728	37	0.0214	1	36	70	1658	0.198425877945776	c200
ZBTB7B	C4	1	1	up_in_rest	5	BLCA,LUAD,LUSC,UCEC,UCS	1714	38	0.0222	1	37	76	1638	-0.311160109527688	c201
CYLD	C4	1	1	up_in_subtype	4	HNSC,LUAD,LUSC,STAD	1693	31	0.0183	1	30	37	1656	0.481024075889344	c203
KLF5	C4	1	1	up_in_rest	4	BLCA,CESC,COADREAD,LUSC	1563	40	0.0256	1	39	59	1504	-0.149877154937132	c209
HIST1H1E	C4	1	1	up_in_subtype	4	BLCA,LIHC,STAD,UCEC	1510	20	0.0132	4	16	209	1301	0.243199140369122	c213
PTPN11	C4	1	1	up_in_subtype	4	COADREAD,GBM,LGG,LUAD	1484	20	0.0135	5	15	275	1209	0.474375051129299	c215
DAZAP1	C4	1	1	up_in_rest	4	BLCA,CESC,LIHC,LUSC	1448	20	0.0138	2	18	199	1249	-0.335752420923739	c216
B2M	C4	1	1	up_in_rest	3	COADREAD,HNSC,LUAD	1363	16	0.0117	0	16	32	1331	-0.329969990942768	c218
SOX9	C4	1	1	up_in_subtype	3	COADREAD,HNSC,LUAD	1363	32	0.0235	1	31	32	1331	0.149208351496478	c218
WT1	C4	1	1	up_in_subtype	3	LIHC,LUAD,LUSC	1206	29	0.024	4	25	177	1029	0.038539456959893	c225
