gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
IRF2	C4	0.187143568755187	0.969494387801678	up_in_rest	4	BLCA,HNSC,LIHC,STAD	1563	23	0.0147	1	22	197	1366	-1.36128140625629	c211
CSDE1	C4	0.189339687594386	0.969494387801678	up_in_rest	7	BLCA,BRCA,CESC,HNSC,LUAD,LUSC,UCEC	3442	42	0.0122	0	42	166	3276	-1.73537167967362	c122
TCF7L2	C4	0.194115639616147	0.969494387801678	up_in_rest	4	COADREAD,LUAD,STAD,UCEC	1652	44	0.0266	0	44	53	1599	-3.10516979958757	c206
EPHA2	C4	0.200137488313691	0.969494387801678	up_in_subtype	9	BLCA,CESC,COADREAD,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	3589	88	0.0245	7	81	254	3335	0.487152939470026	c112
PIK3CA	C4	0.208434054427609	0.969494387801678	up_in_subtype	19	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,SARC,STAD,UCEC,UCS	6666	1222	0.1833	81	1141	744	5922	0.350526498260027	c006
PTEN	C4	0.215254698060909	0.969494387801678	up_in_subtype	16	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,KIRC,LGG,LUAD,LUSC,OV,PRAD,SARC,STAD,UCEC,UCS	6006	463	0.0771	57	406	587	5419	0.412250594147397	c017
FGFR1	C4	0.217670079022144	0.969494387801678	up_in_rest	6	BLCA,BRCA,LUAD,LUSC,OV,UCEC	2854	27	0.0095	0	27	197	2657	-1.60037620323272	c150
IL6ST	C4	0.219861951940274	0.969494387801678	up_in_rest	3	BLCA,BRCA,COADREAD	1845	20	0.0108	0	20	129	1716	-1.58961441290957	c191
ZNF750	C4	0.220742735425755	0.969494387801678	up_in_rest	4	BLCA,ESCA,HNSC,LUSC	1494	40	0.0268	0	40	49	1445	-1.76979089790395	c212
ZFP36L2	C4	0.225701623341855	0.969494387801678	up_in_rest	5	BLCA,BRCA,CESC,LUSC,UCEC	2538	36	0.0142	0	36	145	2393	-1.29919739543799	c169
CCND1	C4	0.225983310659507	0.969494387801678	up_in_rest	2	BLCA,UCEC	824	27	0.0328	0	27	49	775	-1.67051462235041	c234
ZC3H12A	C4	0.229153218934942	0.969494387801678	up_in_rest	3	BLCA,BRCA,STAD	1728	20	0.0116	0	20	127	1601	-1.5532799601805	c199
PSIP1	C4	0.249741559680366	1	up_in_subtype	3	BLCA,HNSC,LUAD	1292	26	0.0201	3	23	56	1236	1.96427880439914	c221
TSC2	C4	0.2618363421806	1	up_in_rest	12	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5023	91	0.0181	5	86	438	4585	-0.758187436593156	c049
AKT1	C4	0.262449032971497	1	up_in_subtype	4	BRCA,CESC,THCA,UCEC	2184	50	0.0229	4	46	124	2060	1.19650768246562	c179
ATR	C4	0.26267209849936	1	up_in_subtype	12	BLCA,BRCA,CESC,COADREAD,GBM,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4860	149	0.0307	14	135	476	4384	0.396961435792075	c056
FBXW7	C4	0.280915601717744	1	up_in_rest	12	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LUAD,LUSC,OV,STAD,UCEC,UCS	4611	267	0.0579	7	260	231	4380	-0.598400853294977	c063
ZMYM2	C4	0.290371810444726	1	up_in_rest	6	BLCA,BRCA,KIRC,LUAD,LUSC,UCEC	3038	52	0.0171	1	51	178	2860	-0.555772938182644	c141
PIK3CG	C4	0.291997491340132	1	up_in_rest	10	BLCA,COADREAD,GBM,HNSC,LUAD,LUSC,OV,PRAD,STAD,UCEC	3650	135	0.037	7	128	280	3370	-0.832199434748099	c107
MYH9	C4	0.298419710815506	1	up_in_rest	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,OV,STAD,UCEC	4413	160	0.0363	4	156	225	4188	-0.737010764772693	c077
DACH1	C4	0.306548363751857	1	up_in_rest	5	BLCA,BRCA,HNSC,LUAD,LUSC	2737	53	0.0194	1	52	146	2591	-1.08461529122996	c157
CUL1	C4	0.306698488418356	1	up_in_subtype	8	BLCA,BRCA,CESC,GBM,HNSC,LUAD,LUSC,STAD	3451	71	0.0206	7	64	261	3190	0.984231220118351	c121
TBX3	C4	0.307239946382053	1	up_in_subtype	6	BLCA,BRCA,COADREAD,LUAD,LUSC,OV	2877	44	0.0153	5	39	194	2683	1.04832645496324	c149
LATS1	C4	0.309686478322903	1	up_in_subtype	10	BLCA,BRCA,CESC,COADREAD,HNSC,LUAD,LUSC,OV,STAD,UCEC	4413	90	0.0204	6	84	225	4188	0.669330686503607	c077
MAP3K4	C4	0.313012935135423	1	up_in_rest	11	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,STAD,UCEC	4941	114	0.0231	5	109	357	4584	-0.723537103535847	c054
CDKN2A	C4	0.316638312675407	1	up_in_subtype	8	BLCA,ESCA,HNSC,LIHC,LUAD,LUSC,PAAD,STAD	2741	227	0.0828	12	215	229	2512	0.591007050003993	c159
IRF6	C4	0.31935358366439	1	up_in_subtype	3	HNSC,LUAD,LUSC	1351	22	0.0163	2	20	28	1323	1.46419037572695	c219
FUBP1	C4	0.319937731512564	1	up_in_rest	4	BLCA,HNSC,LGG,LUAD	1799	37	0.0206	4	33	201	1598	-2.00387819845096	c195
ALK	C4	0.321798638348031	1	up_in_rest	12	BLCA,BRCA,CESC,COADREAD,ESCA,HNSC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4927	130	0.0264	10	120	381	4546	-0.742708972302802	c053
EPHA3	C4	0.327669110426272	1	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,LGG,LIHC,LUAD,LUSC,OV,PRAD,STAD,UCEC	5938	195	0.0328	12	183	670	5268	0.38393483151501	c021
RUNX1	C4	0.33940155746836	1	up_in_rest	2	BLCA,BRCA	1386	27	0.0195	1	26	118	1268	-1.02949063300359	c217
TCF12	C4	0.344111810692835	1	up_in_rest	4	BLCA,COADREAD,LUAD,LUSC	1709	21	0.0123	0	21	72	1637	-1.31745079273027	c202
SPTA1	C4	0.349845193321707	1	up_in_subtype	18	BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,THCA,UCEC	6919	625	0.0903	52	573	712	6207	0.315095611087444	c004
RXRA	C4	0.352288776091798	1	up_in_subtype	3	BLCA,LIHC,UCEC	1168	31	0.0265	7	24	200	968	0.675267915448112	c227
