gene	n_tumor_types	tumors	n_samples	n_mutated	mut_freq
TSC2	12	BLCA,BRCA,CESC,COADREAD,HNSC,KIRP,LIHC,LUAD,LUSC,OV,STAD,UCEC	5023	91	0.0181
SF1	5	BLCA,HNSC,LUAD,STAD,UCEC	2070	37	0.0179
ARID5B	8	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	3859	69	0.0179
RNF43	8	COADREAD,KIRC,LUAD,LUSC,OV,PAAD,STAD,UCEC	2769	49	0.0177
LATS2	6	BLCA,LGG,LUAD,LUSC,MESO,UCEC	2271	40	0.0176
JAK3	8	BLCA,BRCA,GBM,LIHC,LUAD,LUSC,OV,UCEC	3301	58	0.0176
IL7R	7	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD	3538	62	0.0175
CREB3L3	5	BLCA,GBM,HNSC,LIHC,LUSC	1771	31	0.0175
PMS1	4	BLCA,BRCA,LUAD,LUSC	2248	39	0.0173
ACVR1B	7	BRCA,COADREAD,HNSC,LUAD,LUSC,STAD,UCEC	3586	62	0.0173
GATA3	7	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD	3538	61	0.0172
DHX9	10	BLCA,BRCA,CESC,COADREAD,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4587	79	0.0172
PIK3CB	8	BLCA,BRCA,GBM,HNSC,LUAD,LUSC,OV,UCEC	3446	59	0.0171
CNBD1	8	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD,UCEC	3974	68	0.0171
PDS5B	10	BLCA,BRCA,HNSC,KIRC,LIHC,LUAD,LUSC,OV,STAD,UCEC	4383	75	0.0171
ZMYM2	6	BLCA,BRCA,KIRC,LUAD,LUSC,UCEC	3038	52	0.0171
NUP93	4	BLCA,HNSC,LUSC,UCEC	1760	30	0.017
CTNND1	10	BLCA,BRCA,COADREAD,ESCA,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4488	76	0.0169
GNAS	8	BLCA,CESC,COADREAD,ESCA,LUAD,PAAD,STAD,UCEC	2625	44	0.0168
JAK1	7	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,UCEC	3517	59	0.0168
NF2	10	BLCA,BRCA,CESC,HNSC,KIRC,KIRP,LIHC,LUSC,MESO,UCEC	4069	68	0.0167
PGR	9	BLCA,BRCA,COADREAD,GBM,LIHC,LUAD,LUSC,STAD,UCEC	3932	65	0.0165
NUP133	9	BLCA,BRCA,COADREAD,HNSC,LIHC,LUAD,LUSC,STAD,UCEC	4318	71	0.0164
ZBTB20	7	BRCA,COADREAD,LGG,LUAD,LUSC,STAD,UCEC	3604	59	0.0164
GRIN2D	6	BLCA,HNSC,LUAD,LUSC,STAD,UCEC	2517	41	0.0163
IRF6	3	HNSC,LUAD,LUSC	1351	22	0.0163
ALB	7	BLCA,BRCA,HNSC,LIHC,LUAD,LUSC,OV	3251	53	0.0163
SMAD2	4	BRCA,COADREAD,LUAD,STAD	2214	36	0.0163
PLCG1	8	BLCA,BRCA,ESCA,GBM,HNSC,LUAD,STAD,UCEC	3341	54	0.0162
HIST1H1C	4	BLCA,HNSC,LIHC,LUSC	1668	27	0.0162
MYC	2	HNSC,UCEC	925	15	0.0162
MLH1	7	BLCA,CESC,COADREAD,LUAD,LUSC,STAD,UCEC	2756	44	0.016
