sampleId	mutationCount
TCGA-AX-A2HJ-01	1573
TCGA-B5-A11O-01	96
TCGA-AP-A0LE-01	545
TCGA-SL-A6JA-01	742
TCGA-BK-A4ZD-01	70
TCGA-D1-A0ZR-01	50
TCGA-AJ-A8CW-01	661
TCGA-BK-A0C9-01	587
TCGA-AX-A3FT-01	1280
TCGA-B5-A0K9-01	759
TCGA-BG-A0M2-01	27
TCGA-DF-A2KN-01	4336
TCGA-BG-A0VX-01	177
TCGA-B5-A3FH-01	38
TCGA-FI-A2D4-01	328
TCGA-QS-A5YQ-01	933
TCGA-A5-A0GH-01	431
TCGA-D1-A0ZS-01	389
TCGA-BG-A0M6-01	45
TCGA-FI-A2F8-01	68
TCGA-AP-A1DH-01	580
TCGA-AX-A3G8-01	781
TCGA-EY-A1GD-01	1076
TCGA-EO-A3AZ-01	1002
TCGA-BG-A0M4-01	582
TCGA-BS-A0U5-01	58
TCGA-AX-A2H5-01	47
TCGA-BS-A0T9-01	58
TCGA-AX-A06J-01	57
TCGA-B5-A1MS-01	45
TCGA-BG-A3PP-01	46
TCGA-AJ-A3OJ-01	885
TCGA-AX-A0J0-01	7795
TCGA-AJ-A2QN-01	53
TCGA-AX-A060-01	741
TCGA-SJ-A6ZJ-01	56
TCGA-FI-A2EW-01	98
TCGA-D1-A101-01	435
TCGA-D1-A1O7-01	328
TCGA-AP-A0LS-01	420
TCGA-AP-A0LM-01	13203
TCGA-QS-A8F1-01	63
TCGA-EY-A1GC-01	34
TCGA-AX-A0IW-01	51
TCGA-A5-A0G2-01	25697
TCGA-EO-A3AS-01	157
TCGA-AP-A1DM-01	353
TCGA-B5-A0K1-01	42
TCGA-AX-A064-01	262
TCGA-AJ-A3EK-01	5729
TCGA-AX-A2HA-01	1510
TCGA-EY-A214-01	51
TCGA-BS-A0TA-01	472
TCGA-D1-A16Q-01	29
TCGA-DI-A0WH-01	588
TCGA-BS-A0U9-01	36
TCGA-B5-A1MX-01	5687
TCGA-B5-A0K0-01	20
TCGA-BK-A6W4-01	24
TCGA-EY-A212-01	64
TCGA-E6-A8L9-01	51
TCGA-FI-A2D5-01	13853
TCGA-AX-A1CJ-01	49
TCGA-D1-A16I-01	37
TCGA-EO-A3B1-01	38
TCGA-BG-A0M3-01	58
TCGA-BS-A0WQ-01	42
TCGA-B5-A11G-01	554
TCGA-BS-A0UT-01	39
TCGA-AP-A052-01	42
TCGA-EY-A2OP-01	450
TCGA-B5-A3FC-01	12205
TCGA-D1-A0ZV-01	38
TCGA-A5-A3LP-01	49
TCGA-D1-A1NY-01	576
TCGA-D1-A3DG-01	95
TCGA-B5-A11R-01	594
TCGA-EY-A3QX-01	46
TCGA-A5-A0R7-01	69
TCGA-EY-A548-01	596
TCGA-AX-A3FZ-01	40
TCGA-BG-A0YV-01	72
TCGA-D1-A176-01	434
TCGA-AX-A1CI-01	60
TCGA-D1-A16F-01	493
TCGA-B5-A1N2-01	140
TCGA-BS-A0UA-01	321
TCGA-D1-A169-01	54
TCGA-AJ-A3BG-01	1279
TCGA-BG-A0W2-01	30
TCGA-AJ-A3BF-01	26
TCGA-EO-A3L0-01	75
TCGA-AJ-A3OK-01	656
TCGA-B5-A3FA-01	9644
TCGA-FI-A2D0-01	6448
TCGA-AX-A2IN-01	513
TCGA-A5-A2K7-01	610
TCGA-AJ-A3TW-01	113
TCGA-AP-A05D-01	32
TCGA-D1-A163-01	570
TCGA-A5-A0GU-01	42
TCGA-B5-A11V-01	56
TCGA-D1-A3DH-01	89
TCGA-D1-A2G7-01	42
TCGA-EY-A1GS-01	353
TCGA-DI-A1C3-01	41
TCGA-A5-A0G5-01	123
TCGA-B5-A0JT-01	66
TCGA-A5-A0GV-01	46
TCGA-B5-A0K2-01	301
TCGA-AP-A0L9-01	64
TCGA-AP-A0LI-01	104
TCGA-AX-A0J1-01	5113
TCGA-D1-A17F-01	218
TCGA-AP-A05H-01	65
TCGA-B5-A11F-01	39
TCGA-B5-A3FB-01	43
TCGA-AP-A1DK-01	10302
TCGA-BK-A0CB-01	53
TCGA-B5-A11P-01	43
TCGA-DI-A1NO-01	229
TCGA-EC-A24G-01	1019
TCGA-AX-A2HD-01	7838
TCGA-B5-A11M-01	36
TCGA-AP-A0LO-01	28
TCGA-D1-A16O-01	31
TCGA-B5-A0JZ-01	499
TCGA-DI-A1BU-01	7632
TCGA-AX-A06B-01	41
TCGA-AP-A1E3-01	41
TCGA-AP-A0LN-01	61
TCGA-D1-A15V-01	42
TCGA-AX-A1C5-01	845
TCGA-D1-A16D-01	42
TCGA-D1-A16X-01	2727
TCGA-AX-A3G1-01	57
TCGA-E6-A1LZ-01	239
TCGA-B5-A0K7-01	44
TCGA-D1-A16R-01	45
TCGA-FI-A3PV-01	61
TCGA-BG-A0LW-01	30
TCGA-B5-A0JY-01	9686
TCGA-EY-A1GU-01	1181
TCGA-B5-A3S1-01	91
TCGA-QS-A5YR-01	246
TCGA-AP-A0LQ-01	53
TCGA-E6-A1M0-01	1740
TCGA-A5-A7WK-01	61
TCGA-D1-A3JQ-01	30
TCGA-BK-A56F-01	54
TCGA-AP-A0LJ-01	38
TCGA-AX-A3G9-01	658
TCGA-AP-A0LD-01	446
TCGA-AJ-A3EJ-01	55
TCGA-BG-A0VT-01	32
TCGA-AP-A1DV-01	12039
TCGA-EY-A215-01	4646
TCGA-EO-A1Y7-01	42
TCGA-B5-A0JV-01	346
